name	ingrient	url	pic	step	instrouction	comment
75 Cocktail (MacElhone's 1926 recipe)	"{'Calvados brandy': '1 1/3 oz', 'Rutte Dry Gin': '2/3 oz', 'Giffard Grenadine Syrup': '1/6 oz', 'La Fee Parisienne absinthe': '2 dash'}"	https://www.diffordsguide.com/cocktails/recipe/1811/75-cocktail-macelhones-1926-recipe	https://cdn.diffords.com/contrib/stock-images/2017/7/36/2017f45334522d136c904668ba094f18199d.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	"Like the gun this cocktail is named after, this small drink packs a hell of a punch, and to ensure it does, MacElhone calls for a couple of dashes of absinthe in place of the lemon juice used in earlier Soixante-Quinze (Seventy-Five) recipes. The result being a dry spirituous drink."	null
75 Cocktail (Vermeire's 1922 recipe)	"{'Rutte Dry Gin': '1 1/3 oz', 'Calvados brandy': '2/3 oz', 'Freshly squeezed lemon juice': '1/6 oz', 'Giffard Grenadine Syrup': '1/4 oz'}"	https://www.diffordsguide.com/cocktails/recipe/1765/75-cocktail-vermeires-1922-recipe	https://cdn.diffords.com/contrib/stock-images/2017/7/27/2017abd7c29cd626ff5cef85b35464adf7a3.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Spirituous dry and fruity with the botanicals in the gin adding depth of flavour to the other fruity ingredients.	null
8th Day (Non-alcoholic)	"{'Cold jasmine tea': '2 1?2 shot', 'Freshly squeezed lime juice': '3?4 shot', 'Ginger sugar syrup': '1?4 shot', 'Lemon-lime soda (Sprite/&-Up)': 'Top up with'}"	https://www.diffordsguide.com/cocktails/recipe/2927/8th-day	https://cdn.diffords.com/contrib/stock-images/2015/8/48/2015e4d41264dd5319018210ca5d88f2ad5c.jpg	SHAKE all ingredients with ice and fine strain into ice-filled glass.	"Jasmine, lime, ginger and lemon ¡V refreshing and complex."	null
A Few of My Favourite Things	"{'Cognac VSOP': '1 1/3 oz', 'Pedro Xim?nez sherry': '1/3 oz', 'Aperol or other Italian red aperitivo': '1/3 oz', 'Green Chartreuse liqueur': '1/6 oz', 'Angostura or other aromatic bitters': '1 dash', 'Orange bitters': '1 dash'}"	https://www.diffordsguide.com/cocktails/recipe/3725/a-few-of-my-favourite-things	https://cdn.diffords.com/contrib/stock-images/2016/5/39/20167a92e8cc4024aa952a72e45242590daf.jpg	STIR all ingredients with ice and strain into ice-filled glass.	"Bittersweet with zesty citrus, rich sherry, cognac and faint herbal Chartreuse."	null
A L'Ancienne du Bois (A woody Old Fashioned)	"{'Luxardo Maraschino Cherries': '5 whole', 'Cognac VSOP': '1 1/3 oz', 'Toschi Nocello liqueur': '1/3 oz', 'Maple syrup': '1/6 oz', ""Peychaud's or other Creole-style bitters"": '4 dash'}"	https://www.diffordsguide.com/cocktails/recipe/3782/a-lancienne-du-bois-a-woody-old-fashioned	https://cdn.diffords.com/contrib/stock-images/2016/5/19/20168970127598e28edfa6e8ffd4af6b85e7.jpg	MUDDLE cherries with bitters and maple syrup in base of glass. Add 3 ice cubes and STIR. Add cognac and 3 more ice cubes and STIR again. Add walnut liqueur and 2 more ice cubes and STIR some more.	"Despite the name, this Old Fashioned style drink is more fruity and nutty than it is woody, but it's tasty all the same."	null
A Lucky Roman Americano	"{'Italian red bitter liqueur': '1 oz', 'Cinzano 1757 Vermouth Rosso': '1 oz', 'Cynar or other carciofo amaro': '1 oz', 'Mint bitters': '2 dash', '*Special ingredient #1 (see above)': 'Top up with'}"	https://www.diffordsguide.com/cocktails/recipe/4061/a-lucky-roman-americano	https://cdn.diffords.com/contrib/stock-images/2017/2/25/20176d1057d85b0c336ffdd33d68b6ac4428.jpg	"THROW first 4 ingredients with ice and strain into ice-filled glass. Top with rosemary soda. Special ingredient #1: Rosemary soda"	"By Luana Bosello, Italy  ¡§One summer evening, I was in Rome, sitting in a downtown square. I was waiting for 5 p.m., the time scheduled for my first interview for a job as a barlady. ¡§I had always wanted to do this: to play with ingredients, come up with unexpected combinations, see a customer¡¦s smile as they taste something that you have created for the first time¡K At that point I was hoping to find a mentor who would teach me to become the best. ¡§Suddenly a friendly voice interrupted my thoughts: ¡§May I, miss?¡¨. I looked up and saw a guy smiling at me. He had a camera in his hand. He was very handsome. He took a photo of me and then tried to make conversation. ¡§I was a bit too nervous to talk, but the guy was stylish and kind. And openness towards other people is one of the most important qualities of being a barlady, so I smiled at him and began to chat. ¡§He told me that he was a freelance photographer and that it was his last day in Rome; I told him about my passion and about the interview that I was about to have. His face lit up and he made me a promise: if I got the job, I had to go back to that square and we would celebrate together. I accepted, more out of politeness than anything else. By then, it was almost 5 p.m., so I said goodbye and left. ¡§The interview was a big success. The bar manager told me that he could see the same passion in me that he had had at my age: it was the greatest compliment that he could make. When I left, I was so happy that I decided to keep my promise and I went back to the square. He was there waiting for me, playing around with his camera. ¡§We spent the whole night together, confiding in each other and walking through deserted, beautiful Rome. I found out that during his week in Rome, he had never tried my two favourite dishes, artichokes ¡¥alla giudea¡¦ and focaccia with wild rosemary, so I took him to a restaurant in the hills. ¡§I personally considered this meeting as a sign of fate: if I hadn¡¦t been kind to that guy, things would not have gone so well. Saying goodbye the next morning was bittersweet. We decided not to exchange contact details to preserve the magic of that night: if fate wanted us to meet again, then it would happen somehow. Months later, on a train journey, I found a glossy magazine on the seat. I was idly flipping through it, when I came across a story about Rome. It was entitled: ¡§How A Dreamy Girl Helped Me To Become A Lucky Roman Americano¡¨. Guess who it was referring to? The photo credits were printed at the end of the article, along with an e-mail address.¡¨"	null
A Rose By Any Other Name	"{'Cognac VSOP': '1 2/3 oz', 'Martini Rosso sweet vermouth': '5/6 oz', 'Rose petal liqueur': '1/3 oz', 'Cr?me de violette liqueur': '1/6 oz', ""Bob's Chocolate bitters"": '3 drop'}"	https://www.diffordsguide.com/cocktails/recipe/3705/a-rose-by-any-other-name	https://cdn.diffords.com/contrib/stock-images/2016/5/29/2016b453ac4dd951516c6e273196f0e79a9f.jpg	STIR all ingredients with ice and strain into ice-filled glass.	A dry spirit-led sipper with faint floral and chocolate notes. Perhaps forgo the grated chocolate garnish in favour of a square of dark chocolate balanced on Turkish Delight.	null
A Sinking Cocktail	"{'Aperol or other Italian red aperitivo': '1 1/2 oz', 'Sauvignon blanc white wine': '1 1/2 oz', 'St Germain Elderflower Liqueur': '1/6 oz', 'Cherry Heering Liqueur': '1/6 oz'}"	https://www.diffordsguide.com/cocktails/recipe/2851/a-sinking-cocktail	https://cdn.diffords.com/contrib/stock-images/2015/8/50/201597e1b85e9bab6e7ca0311bc7eb060117.jpg	STIR all ingredients with ice and fine strain into chilled glass.	"Copper red and bitter sweet with wine, elderflower and a touch of cherry liqueur."	null
A.B.C. Cocktail	"{'Mint leaves': '7 fresh', 'Tawny port (10 year old)': '1 oz', 'Cognac VSOP': '1 oz', 'Luxardo Maraschino liqueur': '1/4 oz', 'Giffard Sugar Cane Syrup': '1/6 oz'}"	https://www.diffordsguide.com/cocktails/recipe/4/abc-cocktail	https://cdn.diffords.com/contrib/stock-images/2017/2/25/20172c1b5db035654e28db78d810cb728fd9.jpg	"TEAR mint and place in shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass."	Wonderfully delicate. Mint gives subtle freshness to the classic port and brandy combo.	null
A.B.C. Shot	"{'Disaronno Originale amaretto': '1/2 oz', 'Irish cream liqueur': '1/2 oz', 'Cognac VSOP': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/2614/abc-shot	https://cdn.diffords.com/contrib/stock-images/2015/1/50/2015e6da0a887eb63909bd94f29f0146ba6c.jpg	Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.	"A stripy shooter with almond, whiskey, cream and cognac."	null
A.J.	"{'Calvados brandy': '2 oz', 'Freshly squeezed pink grapefruit juice': '2 oz', 'Giffard Sugar Cane Syrup': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/28/aj	https://cdn.diffords.com/contrib/stock-images/2015/1/51/2015c9111b71f7f60cf13cce0759f9d78343.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Amazingly simple and beautifully balanced.	null
A1 Cocktail	"{'Rutte Dry Gin': '1 1/2 oz', 'Grand Marnier or other cognac orange liqueur': '1 oz', 'Freshly squeezed lemon juice': '1/4 oz', 'Giffard Grenadine Syrup': '1/6 oz'}"	https://www.diffordsguide.com/cocktails/recipe/2134/a1-cocktail	https://cdn.diffords.com/contrib/stock-images/2015/8/55/20159a64e1a62bede8fd2f81ef29d4e499c1.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	The richness of Grand Marnier balances lemon juice in this classic gin-led drink. A dash of grenadine provides the pink hue.	null
Abacaxi Rica?o	"{'Pineapple (fresh)': '1 whole', 'Havana Club 3 Year Old rum': '3 oz', 'Freshly squeezed lime juice': '3/4 oz', 'Caster sugar': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/1/abacaxi-ricaco	https://cdn.diffords.com/contrib/stock-images/2015/8/11/2015e333601ba7a06213daa04da6076c5d8d.jpg	"Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (? inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells)."	Burner	null
Abbey	"{'Rutte Dry Gin': '2 oz', 'Martini Rosso sweet vermouth': '1 oz', 'Freshly squeezed orange juice': '1 oz', 'Angostura or other aromatic bitters': '3 dash'}"	https://www.diffordsguide.com/cocktails/recipe/3/abbey	https://cdn.diffords.com/contrib/stock-images/2017/4/35/20174b39f68a57402bf387e563a49e0b65ba.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	"A dry, orangey, herbal, gin-laced concoction."	null
Absinthe by Jimmy	"{'La Fee Parisienne absinthe': '2/3 oz', 'Freshly squeezed lime juice': '2/3 oz', 'Chilled water': '2 oz', 'Giffard Sugar Cane Syrup': '5?12 dash', 'Angostura or other aromatic bitters': '1 dash'}"	https://www.diffordsguide.com/cocktails/recipe/4993/absinthe-by-jimmy	https://cdn.diffords.com/contrib/stock-images/2020/03/5e60c9d15b4e4.jpg	SHAKE all ingredient with ice and fine strain into chilled glass.	"The absinthe cocktail meets the absinthe sour with lime juice added to the holy trinity of absinthe, sugar and water."	null
Absinthe Cocktail	"{'La Fee Parisienne absinthe': '1 oz', 'Chilled water': '2 1/2 oz', 'Giffard Sugar Cane Syrup': '1/4 oz'}"	https://www.diffordsguide.com/cocktails/recipe/5/absinthe-cocktail	https://cdn.diffords.com/contrib/stock-images/2015/1/56/2015efdd333408f20ac9164c90fc80b9c1fb.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Absinthe tamed and served straight-up.	null
Absinthe Cocktail (Jerry Thomas) 	"{'La Fee Parisienne absinthe': '1 oz', 'Anisette liqueur': '1/4 oz', 'Angostura or other aromatic bitters': '1 dash', 'Chilled water (reduce if wet ice)': '1 1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/506/absinthe-cocktail-jerry-thomas	https://cdn.diffords.com/contrib/stock-images/2015/1/56/20156442ee58d0c159ef885efba1eec4f495.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	This aniseed-flavoured mix tastes surprisingly tame but includes a shot of the notorious green fairy.	null
Absinthe Cooler	"{'Basil leaves': '4 fresh', 'La Fee Parisienne absinthe': '1 1/2 oz', 'St Germain Elderflower Liqueur': '1 oz', 'Freshly squeezed lime juice': '1 oz', 'Giffard Sugar Cane Syrup': '1/4 oz', 'Thomas Henry Ginger Ale': 'Top up with'}"	https://www.diffordsguide.com/cocktails/recipe/3417/absinthe-cooler	https://cdn.diffords.com/contrib/stock-images/2015/7/29/2015d6674a93a1d885f7492252bc0bbeec71.jpg	SHAKE first 5 ingredients with ice and strain into ice-filled glass. TOP with ginger ale.	"The basil is subdued, as is the elderflower with absinthe being the predominant flavour ¡V although not domineeringly so."	null
Absinthe Drip Cocktail (Czech method)	"{'La Fee Parisienne absinthe': '1 1/2 oz', 'Chilled water': '2 oz', 'Caster sugar': '1 cube'}"	https://www.diffordsguide.com/cocktails/recipe/508/absinthe-drip-cocktail-czech-method	https://cdn.diffords.com/contrib/stock-images/2015/1/00/20153a40d78c83b5942e29b76287ec65a9ff.png	"PLACE sugar cube on a slotted absinthe spoon resting across the top of the glass. POUR the absinthe over the sugar cube into the glass. LIGHT the absinthe soaked cube and leave to burn and caramelise. Using a bottle of chilled mineral water with a small hole in the cap, DRIP water over what's left of the sugar so it dissolves and drips into the glass. Add ice, stir and serve."	More about the theatrics involved in its making than the taste of the finished drink.	null
Absinthe Drip Cocktail (French method)	"{'La Fee Parisienne absinthe': '1 1/2 oz', 'Chilled water': '2 oz', 'Caster sugar': '1 cube'}"	https://www.diffordsguide.com/cocktails/recipe/507/absinthe-drip-cocktail-french-method	https://cdn.diffords.com/contrib/stock-images/2015/1/58/20152bd8431b960e3028b65470c777eecd0d.png	"POUR absinthe into glass. PLACE cube of sugar on a slotted absinthe spoon resting across the top of the glass. Using an absinthe fountain (or a bottle of chilled mineral water with a small hole in the cap), DRIP iced water over the sugar so it dissolves and drips into the glass. Traditionally the same amount of water is added as absinthe, but full-strength absinthe requires more dilution - Keep dripping until absinthe louches (turns milky white). Add ice, stir and serve."	Patience is a virtue. Slow dripping of the water is essential to dissolve the entire sugar cube and give the drink enough sweetness to balance the absinthe.	null
Absinthe Drop	"{'La Fee Parisienne absinthe': '1 oz', 'Anisette liqueur': '1/4 oz', 'Chilled water': '2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/2237/absinthe-drop	https://cdn.diffords.com/contrib/stock-images/2016/7/00/2016007cf69c7c8d17a04450531b095c1c47.jpg	STIR all ingredients and strain into ice-filled glass.	A fix for aniseed addicts.	null
Absinthe Frapp?	"{'La Fee Parisienne absinthe': '1 1/2 oz', 'Anisette liqueur': '1/2 oz', 'Chilled water': '1 1/2 oz', 'Giffard Sugar Cane Syrup': '1/4 oz'}"	https://www.diffordsguide.com/cocktails/recipe/6/absinthe-frappe	https://cdn.diffords.com/contrib/stock-images/2015/1/03/2015e7097443534c117b371f46d41f6e76a0.png	SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with straws.	Aniseed and the fire of absinthe moderated by sugar and ice but still a dangerous combination.	null
Absinthe Gimlet	"{'Rutte Dry Gin': '1 1/2 oz', 'La Fee Parisienne absinthe': '1/2 oz', 'Lime cordial': '1/2 oz', 'Freshly squeezed lime juice': '1/4 oz', 'Chilled water': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/3096/absinthe-gimlet	https://cdn.diffords.com/contrib/stock-images/2015/1/05/20155a11c71896f202ca9b4f82d546e067f0.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	A herbal riff on Charles Schumann's Gimlet.	null
Absinthe Italiano Cocktail	"{'La Fee Parisienne absinthe': '1 oz', 'Anisette liqueur': '1/2 oz', 'Luxardo Maraschino liqueur': '1/4 oz', 'Chilled water (reduce if wet ice)': '1 1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/509/absinthe-italiano-cocktail	https://cdn.diffords.com/contrib/stock-images/2015/8/35/201520ce4254e1b23290d0ac4cd75040a94b.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Liqueurs sweeten and tame the absinthe burn in this milky green concoction.	null
Absinthe Makes The Heart Grow Fonder	"{'Rutte Dry Gin': '1 1/2 oz', 'La Fee Parisienne absinthe': '1/4 oz', 'Luxardo Maraschino liqueur': '1/3 oz', 'Cherry Heering Liqueur': '1/6 oz', 'Italian red bitter liqueur': '1/6 oz', 'Freshly squeezed pink grapefruit juice': '3/4 oz', 'Giffard Sugar Cane Syrup': '1/6 oz', 'Chilled water (omit if using wet ice)': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/3418/absinthe-makes-the-heart-grow-fonder	https://cdn.diffords.com/contrib/stock-images/2016/3/47/20169a98ae437b29d8be2544c3ea55cd361a.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Absinthe and gin delicately lead this subtle cherry-flavoured cocktail. Campari adds more colour than flavour while pink grapefruit freshens.	"[['That calls for some improvisation! something ""tart"" & suitably fortified.  (Dowson also remarked: \'write, write, write: it is the only endurable employment except when one is fortified with a glass of absinthe¡¦)'], ['Curious if the inventor of this tasty beverage takes his lead from remark by English poet, Ernest Dowson: ""Absinthe makes the tart grow fonder"": there\'s truth to both propositions, maybe.']]"
Absinthe Martini	"{'Rutte Dry Gin': '2 1/2 oz', 'Martini Extra Dry vermouth': '1/2 oz', 'La Fee Parisienne absinthe': '1/6 oz'}"	https://www.diffordsguide.com/cocktails/recipe/2871/absinthe-martini	https://cdn.diffords.com/contrib/stock-images/2017/4/13/2017f8c52d79994e297caa32faaaab760401.jpg	STIR all ingredients with ice and strain into chilled glass.	A classic Gin Martini made aniseed fresh with a dash of absinthe.	null
Absinthe Mojito	"{'Fresh lime': '3 wedge', 'Mint leaves': '8 fresh', 'La Fee Parisienne absinthe': '5/6 oz', 'Lemonade': '3 oz'}"	https://www.diffordsguide.com/cocktails/recipe/4827/absinthe-mojito	https://cdn.diffords.com/contrib/stock-images/2019/09/5d72561379c8d.jpg	Squeeze and drop lime wedges into glass half-filled with crushed ice. Add mint and absinthe and churn with ice. Fill glass with more crushed ice and TOP with lemonade (or lemon-lime soda).	Absinthe adds its distinctive aniseed and liquorice notes to a Mojito.	null
Absinthe Sour	"{'La Fee Parisienne absinthe': '5/6 oz', 'Giffard Sugar Cane Syrup': '1/3 oz', 'Freshly squeezed lemon juice': '1/2 oz', 'Pasteurised egg white': '1/2 oz', ""Peychaud's or other Creole-style bitters (optional)"": '2 dash'}"	https://www.diffordsguide.com/cocktails/recipe/7/absinthe-sour	https://cdn.diffords.com/contrib/stock-images/2020/01/5e15ec8c9493a.jpg	SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.	A touch of the sours for absinthe lovers.	null
Absinthe Special Cocktail	"{'La Fee Parisienne absinthe': '1 oz', 'Rutte Dry Gin': '1/4 oz', 'Anisette liqueur': '1/4 oz', 'Angostura or other aromatic bitters': '2 dash', 'Orange bitters': '1 dash', 'Chilled water (reduce if wet ice)': '1 1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/510/absinthe-special-cocktail	https://cdn.diffords.com/contrib/stock-images/2015/8/05/2015ac379b00507e7a56fae0bff21065f9b3.jpg	SHAKE all ingredients with ice and fine strain into chilled glass.	Tongue-numbingly strong in flavour and alcohol.	null
Absinthe Spider Highball	"{'La Fee Parisienne absinthe': '1/2 oz', 'Angostura or other aromatic bitters': '2 dash', 'Thomas Henry Ginger Ale': '4 oz'}"	https://www.diffordsguide.com/cocktails/recipe/4934/absinthe-spider-highball	https://cdn.diffords.com/contrib/stock-images/2020/01/5e15e93b14ef6.jpg	POUR all ingredients into ice-filled glass.	Absinthe and ginger ale combine well in this refreshing highball.	null
Absinthe Suisesse	"{'La Fee Parisienne absinthe': '1 1/2 oz', 'Giffard Orgeat Syrup': '1/2 oz', 'Pasteurised egg white': '1 oz', 'Milk (semi-skimmed/2% fat)': '1/2 oz', 'Single cream / half-and-half': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/8/absinthe-suisesse	https://cdn.diffords.com/contrib/stock-images/2015/8/06/201532ce29ae5fd3ddddec3f2e3b37f7bbfe.jpg	SHAKE all ingredients with ice and strain into glass filled with crushed ice.	Absinthe smoothed with cream and sweet almond.	null
Absolute Gangster	"{'Ketel One Vodka': '2 oz', 'Lillet Blanc': '5/12 oz', 'Giffard Sugar Cane Syrup': '1/6 oz', ""Bob's Abbotts Bitters"": '4 drop'}"	https://www.diffordsguide.com/cocktails/recipe/4836/absolute-gangster	https://cdn.diffords.com/contrib/stock-images/2019/09/5d7258dd564bf.jpg	STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).	A mere four drops of Abbotts Bitters play a crucial role in this delicately sweetened and complex vodka-based cocktail.	null
Absolutely Fabulous	"{'Ketel One Vodka': '1 oz', 'Cranberry juice drink': '2 oz', 'Brut Champagne': 'Top up with'}"	https://www.diffordsguide.com/cocktails/recipe/10/absolutely-fabulous	https://cdn.diffords.com/contrib/stock-images/2017/4/14/20176237e7945e7bb8a6624e6e16770ccb21.jpg	SHAKE first two ingredients with ice and strain into glass. TOP with champagne.	Easy to quaff ¡V Patsy would love it.	null
Acapulco	"{'Patr?n Reposado tequila': '1 oz', 'Havana Club 3 Year Old rum': '1 oz', 'Freshly squeezed pink grapefruit juice': '1 oz', 'Fresh pressed pineapple juice': '2 1/2 oz', 'Giffard Sugar Cane Syrup': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/11/acapulco	https://cdn.diffords.com/contrib/stock-images/2015/8/39/201533a1ed45ff3cdd33720e0a64f3b30bbf.jpg	SHAKE all ingredients with ice and strain into ice-filled glass.	"An innocuous, fruity mixture laced with tequila and rum."	null
Acapulco Daiquiri	"{'Bacardi Carta Blanca light rum': '1 1/2 oz', 'De Kuyper Triple Sec (40%)': '1/2 oz', 'Freshly squeezed lemon juice': '3/4 oz', 'Lime cordial': '3/4 oz', 'Pasteurised egg white': '1/2 oz'}"	https://www.diffordsguide.com/cocktails/recipe/12/acapulco-daiquiri	https://cdn.diffords.com/contrib/stock-images/2017/4/52/20174ba51f0c7bca0ccd59d11026ca2a130d.jpg	"DRY SHAKE (without ice) all ingredients to emulsify. Add ice, SHAKE again and fine strain into chilled glass."	"A smooth, yet citrus-rich Daiquiri."	null
