酒名,url,酒譜,介紹,步驟,口味,評論
Boulevardier,https://www.liquor.com/recipes/boulevardier/,"{'Bourbon or rye': '11/4 ounce', 'Campari': '1 ounce', 'Sweet vermouth': '1 ounce'}","['Loosely translated, a boulevardier is a man-about-town. The cocktail by the same name was created by Erskine Gwynne, the publisher of “Boulevardier,” a magazine for expats living in Paris in the 1920s. It’s a tidy story, just like the drink it inspired. Equal parts whiskey, vermouth and Campari, the Boulevardier is both adaptable and adored for its balance of bitter, boozy and sweet. Choose your ingredients wisely. The best Boulevardier, like the best Negroni, hinges on a happy marriage between base spirit and vermouth.']","['Add all ingredients into a mixing glass with ice and stir until chilled.', 'Strain into a rocks glass over fresh ice.', 'Garnish with an orange peel.']",Bitter,"[['Gonna try it this upcoming weekend!'], ['Been drinking this for years..... always called it a Negroni with Bourbon! Who knew!']]"
Revolver,https://www.liquor.com/recipes/the-revolver/,"{'Bourbon': '2 ounce', 'Coffee liqueur': '1/2 ounce', 'Orange bitters': '2 dash'}","['Arm yourself with this bourbon and coffee liqueur cocktail. Introduced by San Francisco bartender Jon Santer in the early 2000s, the Revolver is locked and loaded with the spicy bite of rye-heavy Bulleit bourbon and a slug of coffee liqueur. Orange bitters lend subtle brightness to that dark and mysterious duo. Go ahead and pull the trigger.']","['Add all the ingredients to a mixing glass filled with ice, and stir until chilled.', 'Strain into a chilled cocktail glass, and garnish with a wide strip of orange peel.']",Bitter,"[['You should update this to 2 oz bourbon and 1/2 oz coffee liquor. Also flamed orange peel for garnish!'], ['Thank you for bringing this to our attention. We have updated the recipe.'], ['I want this drink with a cigar.']]"
Aperol Spritz,https://www.liquor.com/recipes/aperol-spritz/,"{'prosecco': '3 ounce', 'Aperol': '2 ounce', 'soda water': '1 ounce'}","['There’s a reason the Aperol Spritz is making a comeback. It’s one of the most popular apéritifs in Italy, and it’s as tasty as it is refreshing. Low in alcohol, aromatic with citrus and slightly bitter, Aperol pairs perfectly with chilled prosecco. The Aperol Spritz is as easy to make as it is to drink, meaning it’s perfect for any time of day and any occasion. It doesn’t hurt that it has a gorgeous coral hue.', 'Meeting friends for an after-work Spritz is a long-established Italian tradition and one that’s easily replicated anywhere.']","['Add all ingredients into a wine glass with ice and stir.', 'Garnish with an orange wheel.']",Bitter,"[['This formulation was too sweet and too strong [for me]. I did 2oz Prosecco, 1oz aperol, 2oz soda water and it was perfect'], ['The quantities given here are standard for an Aperol Spritz, but of course we always encourage experimentation and making a drink however you prefer!'], ['Right! I meant too sweet for me. Especially on a hot and humid day. I edited my comment. Thanks!']]"
Sorrentino,https://www.liquor.com/recipes/sorrentino/,"{'sweet vermouth': '1 ounce', 'limoncello': '1 ounce', 'Campari': '3/4 ounce', 'soda water': 'to top'}","['A classic vermouth cocktail from southern Italy, the Sorrentino brings sweet, bitter and citrus flavors together in perfect unity. Be sure not to skip the thyme sprig, which adds a whole other aromatic layer to the symphony.']","['Fill a double Old Fashioned glass with ice.', 'Add the vermouth, limoncello and Campari, and stir gently.', 'Top with the soda water.', 'Garnish with a thyme sprig and an orange slice.']",Bitter,"[[""Smashing! I didn't know this was a thing but we had campari, limoncello and vermouth so I mixed them up. Wouldn't have thought of adding thyme but it makes all the difference. Mint too.""], ['Absolutely terrific cocktail ! a must try']]"
Set the New Year on Fire,https://www.liquor.com/recipes/set-the-new-year-on-fire/,"{'Fresh lime juice': '3/4 ounce', 'Simple syrup': '1/2 ounce', 'Mint leaves': '6', 'Bowmore 12-year-old single-malt scotch': '2 ounce', 'Campari': '1/2 ounce'}","[""This New Year's Eve-inspired libation comes with all the pyrotechnics.""]","['Add lime juice, syrup and mint leaves to a Collins glass and press gently with a muddler.', 'Add scotch and fill with crushed ice.', 'Float Campari on top and fill with more crushed ice.', 'Garnish with a flaming lime shell.', '*Flaming lime shell: Squeeze half a lime, reserving juice for another use. Top drink with lime shell and place 1 sugar cube inside. Douse sugar cube with Bacardi 151 rum and carefully set on fire.']",Bitter,NULL
Irish Affogato,https://www.liquor.com/recipes/irish-affogato/,"{'Irish whiskey': '3/4 ounce', 'Baileys Irish cream': '1/2 ounce', 'coffee ice cream': '1 scoop', 'cold-brew coffee': '11/2 ounce'}","['The Irish Coffee is one of the most popular drinks in the cocktail canon, and now you can have it for dessert. This boozy twist on the traditional affogato, made with coffee ice cream, cold-brew coffee, Irish whiskey and Baileys, brings two great ideas together. Want to scale back the dairy and ramp up the buzz? Skip the whipped cream garnish and add another half ounce of whiskey.']","['In a Georgian Irish Coffee mug, add all ingredients.', 'Garnish with whipped cream and chocolate shavings.']",Bitter,NULL
Wormhole Warrior,https://www.liquor.com/recipes/wormhole-warrior/,"{'Cocalero Clásico Herbal Spirit Vodka': '1 ounce', 'Dry vermouth': '1 ounce', 'Tempus Fugit Gran Classico bitter': '3/4 ounce', 'Orange bitters': '1 dash'}","['This stirred libation is similar to a citrusy Martini.', 'This recipe originally appeared as part of “On the Fence About Gin? Try 3 Ways to Use 3 Gin-Like Vodkas.”']","['Add all ingredients into a mixing glass with ice and stir for 12 seconds.', 'Strain into a rocks glass over fresh ice.', 'Garnish with a mint sprig and lemon peel.']",Bitter,NULL
Winter Sour,https://www.liquor.com/recipes/winter-sour/,"{'Meyer lemon juice': '11/2 ounce', 'Egg white': '1 ounce', 'Campari': '1 ounce', 'Clover honey syrup ': '11/2 ounce', ' Rosemary': '1  sprig '}","['This delicious low-alcohol cocktail recipe is bitter, sweet and seasonal.']","['Strip leaves from rosemary sprig, add them into a shaker and muddle.', 'Add the lemon juice and egg white and dry-shake (no ice) for 5 seconds.', 'Add Campari, honey syrup and ice and shake well.', 'Strain into a cocktail glass.', 'Garnish with a short rosemary sprig.']",Bitter,NULL
Hanky Panky,https://www.liquor.com/recipes/hanky-panky/,"{'Gin': '11/2 ounce', 'Sweet vermouth': '11/2 ounce', 'Fernet-Branca': '2 dash'}","[""Try this sultry cocktail invented at London's Savoy hotel.""]","['Add all the ingredients into a mixing glass with ice and stir.', 'Strain into a chilled cocktail glass.', 'Garnish with an orange twist.']",Bitter,[['Which vermouth you use matters. For this Cocchi vermouth do Torino works great with the Fernet.']]
Mezcal Negroni,https://www.liquor.com/recipes/mezcal-negroni/,"{'Mezcal': '1 ounce', 'Campari': '1 ounce', 'Sweet vermouth': '1 ounce'}",['This underrated mezcal cocktail takes a classic Negroni and adds the smoke of mezcal.'],"['Add all of the ingredients to an Old Fashioned glass and fill with ice.', 'Stir until cold and garnish with an orange half-wheel.']",Bitter,NULL
Toronto,https://www.liquor.com/recipes/toronto/,"{'Canadian rye whiskey ': '2 ounce', 'Fernet-Branca': '1/4 ounce', 'Simple syrup': '1/4 ounce', 'Angostura bitters': '2 dash'}","['In this cocktail from Whiskey: A Spirited Story with 75 Classic & Original Cocktails, Canadian whisky tames the bitter, herbal bite of Fernet-Branca.']","['Fill a mixing glass 2/3 full of ice, and add the rye, Fernet-Branca, simple syrup and bitters.', 'Stir for 15 seconds, until chilled and diluted, strain into a chilled coupe glass, and garnish with an orange peel.']",Bitter,NULL
Charleston Breakfast Coffee,https://www.liquor.com/recipes/charleston-breakfast-coffee/,"{'High Wire New Southern Revival sorghum whiskey': '2 ounce', 'Simple syrup': '1/2 ounce', 'Brewed dark-roast coﬀee': '8 ounce', 'Heavy cream': '1 cup'}","['Jerry Slater, a bartender and forthcoming owner of The Expat in Athens, Ga., and co-author of “The Southern Foodways Alliance Guide to Cocktails”—has created a Southern take on the Irish Coffee that’s a much more grain-forward, slightly richer version of the drink.', 'This recipe originally appeared as part of “The Irish Coffee: 3 Delicious Ways to Reconsider the Famed Cocktail.”']","['Pour the whiskey and simple syrup into a coffee mug.', 'Top with the coffee, and stir to combine.', 'Place the heavy cream in a pint-size Mason jar, and seal tightly with the lid.', 'Shake the jar until the cream gets thick and pourable but not yet firm.', 'Pour the soft whipped cream on top to form a layer about 1/2-inch thick.']",Bitter,NULL
Bitter Temptation,https://www.liquor.com/recipes/bitter-temptation/,"{'Fernet-Branca': '3/4 ounce', 'Tempus Fugit crème de cacao ': '1/2 ounce', 'Gragnano vino ': '1 ounce', 'Cold-brew coffee': '1 ounce', 'Vanilla syrup': '3/4 ounce'}","[""DiAnoia's Eatery in Pittsburgh keeps it real with all-day Italian, from morning coffee to afternoon deli, then evening rounds of Tuscan kale salad, wild mushroom carbonara and whole branzino. The sunny space sports a blue-tiled breakfast bar and relaxed dining room with light fixtures made from wine bottles. Drinks are simple but gratifying, and the Bitter Temptation is no exception. It’s bitter, sweet and bracing all at once."", 'This recipe originally appeared as part of “11 Hottest Cocktails to Drink in Bars Now: November 2018.”']","['Add all the ingredients except the wine into a rocks glass.', 'Add one large ice cube and stir to chill.', 'Float the wine over top.']",Bitter,NULL
Qui-Gon Gin-Singer,https://www.liquor.com/recipes/qui-gon-gin-singer/,"{'Boylan Heritage tonic water': '2 ounce', 'Old Fourth Distillery gin': '2 ounce', 'Banjo Sweetly Tuned cold-brew coffee': '6 ounce'}","['Billy Atchison, the co-founder of Banjo Cold Brew Coffee in Atlanta, is a Jedi junkie. So much so that he created this cocktail in honor of the respected and unconventional, if thoroughly paranoid, Jedi master Qui-Gon Jinn. “Sweetened cold-brew coffee gives it enough edge to win at any pod race,” says Atchison. “And the smooth gin plus lemon ensures that any Jedi could keep his cool when negotiations seem to be failing.”', ""This recipe originally appeared as part of “May the Fourth Be with You with These 4 'Star Wars' Cocktails.”""]","['Pour the tonic over a highball glass filled with ice and set aside.', 'Add the gin and coffee into a mixing glass and stir.', 'Pour the mixture over the tonic.', 'Express the oil of a lemon peel over the glass, and drop in to garnish.']",Bitter,NULL
The Dead Rabbit Irish Coffee,https://www.liquor.com/recipes/the-dead-rabbit-irish-coffee/,"{'Demerara syrup ': '3/4 ounce', 'Clontarf Irish whiskey': '11/2 ounce', 'Brewed coffee': '4 ounce', 'Heavy cream': 'lightly whipped'}",['We got famed New York bar The Dead Rabbit to share its recipe for delicious hot Irish Coffee.'],"['Fill an Irish Coffee glass with hot water and let stand for a few minutes to warm.', 'Pour out the water and add the Demerara syrup, whiskey and coffee.', 'Stir to combine and top with a layer of heavy cream the width of your thumb.', 'Garnish with freshly grated nutmeg.']",Bitter,NULL
Matcha-Sesame Punch,https://www.liquor.com/recipes/matcha-sesame-punch/,"{'Sencha-tea-infused vodka': '1 ounce', 'Sesame-infused vodka': '1 ounce', 'Cane syrup': '3/4 ounce', 'Half-and-half': '1/2 ounce', 'Matcha powder': '13/100 tsp'}","['By adding a jolt of sesame to this milk punch with matcha, the cocktail becomes fuller and rounder, a harmony of fresh green and deep, nutty flavors. Just as sesame successfully amplifies food, it provides another subtle layer to drinks.']","['Combine all ingredients in a shaker tin, and dry shake to aerate. Shake with ice, and fine-strain into a teacup.']",Bitter,"[['Just made this with a few modifications, to accommodate available ingredients:'], ['2.0-oz Beni-Otome Sesame shochu\n1.0-oz Simple syrup\n1.0-oz Organic Whole Milk\n1.0-tsp Green matcha powder\nShaken, strained over cracked ice, pre-seasoned with...\n2.0-drp Black Sesame Oil'], ['DELICIOUS!'], [""(Next time, I'll add a dash of home-infused Bison Grass vodka for the floral quality.)""]]"
Dark Side,https://www.liquor.com/recipes/dark-side/,"{'Maker’s Mark 46 whiskey': '11/2 ounce', 'Black sesame orgeat': '1/2 ounce', 'Lime': 'juiced', 'Angostura bitters': '13 dash', 'Activated charcoal': '1 pinch'}","['Black as Vader’s cape, this nod to the seduction of evil by NOLA bartender Christian Villalta is apropos. Drinking this opaque beauty is an irresistible force itself, after all. Its up-the-ante ingredients make it perfect for both the incurable cocktail geek and “Star Wars” nerds everywhere. (It requires making your own black sesame orgeat.)', ""This recipe originally appeared as part of “May the Fourth Be with You with These 4 'Star Wars' Cocktails.”""]","['Add all the ingredients into a shaker with ice, and shake until well-chilled.', 'Strain into a chilled coupe glass.', 'Garnish with a jasmine flower.', '*Black sesame orgeat: Combine 3/4 cup black sesame seeds and 1/4 cup white sesame seeds on a baking sheet, and bake at 400 degrees F for 5 minutes. Let cool, then purée in a blender with 2 cups simple syrup until pasty. Strain purée through a cheesecloth, then mix with 1 splash orange blossom water and 8 oz vodka. Store in an airtight glass container in a cool, dry place.']",Bitter,NULL
Mollymock,https://www.liquor.com/recipes/mollymock/,"{'Bacardí black rum': '2 ounce', 'Bénédictine liqueur': '1/2 ounce', 'Amaro Montenegro': '1 barspoon', 'Fresh lime juice': '1 ounce', 'Simple syrup': '1/4 ounce'}","['This black-rum-based cocktail is sweet, bitter and herbal, with a bit of brightness from lime juice and an orange peel garnish.', 'This recipe originally appeared as part of “Everything You Need to Know About Black Strap Rum.”']","['Add all the ingredients into a shaker with ice, and shake until well-chilled.', 'Strain into a chilled coupe.', 'Garnish with an orange peel.']",Bitter,NULL
Embarcadero,https://www.liquor.com/recipes/embarcadero/,"{'Lo-Fi Gentian Amaro': '1 ounce', 'Lo-Fi Sweet Vermouth': '1 ounce', 'Rye whiskey': '1 ounce'}","['Meet the trifecta of perfectly balanced, bittersweet flavor: amaro, sweet vermouth and rye.']","['Add all ingredients to a rocks glass over large ice cube.', 'Garnish with a lemon peel.']",Bitter,NULL
Cafe Correcto con Coco,https://www.liquor.com/recipes/cafe-correcto-con-coco/,"{'Plantation five-year-old rum': '3/4 ounce', 'Jameson Caskmates whiskey': '3/4 ounce', 'Brewed coffee': '1 ounce', 'Almond milk': '1 ounce'}","['Created at Upstairs at The Gwen in Chicago, this original recipe uses a house-made coffee cordial and coconut water, but home bartenders can easily replicate it by substituting brewed coffee and a bit of almond milk. Either way, it’s a slightly sweet, rich coffee drink that’s great for any time of day.', 'This recipe originally appeared as part of “5 Coffee Cocktails to Keep You Warm This Winter.”']","['Pour the rum, whiskey and brewed coffee into a heated Irish coffee mug.', 'Top with the almond milk.']",Bitter,NULL
Gypsy Queen,https://www.liquor.com/recipes/gypsy-queen/,"{'Russian Standard Vodka': '2 ounce', 'Bénédictine': '1 ounce', 'Angostura bitters': '2 dash'}","['One of the earliest vodka-cocktail recipes created in the US, this simple tipple dates back to 1938.']","['Add all the ingredients to a mixing glass and fill with cracked ice.', 'Stir, and strain into a chilled cocktail glass.', 'Twist a swatch of thin-cut lemon peel over the top and discard.']",Bitter,[['Just made this. Might cut back on the Benedictine next time.']]
Roman Holiday,https://www.liquor.com/recipes/roman-holiday/,"{'Amaro Meletti': '1 ounce', 'Campari liqueur': '1/4 ounce', 'Pineapple juice': '3/4 ounce', 'Lime juice': '3/4 ounce', 'Cold-brew coffee': '1 ounce', 'Demerara syrup': '1/4 ounce', 'Sea salt': '1 pinch'}","['Campari liqueur and pineapple juice in your cup of joe? Yep! From Cindy’s in Chicago, this cocktail is a balancing act of bitter and sweet, with a backbone of Amaro Meletti and cold-brew coffee. Think of it as Tiki’s Italian cousin with a caffeine buzz.', 'This recipe originally appeared as part of “5 Coffee Cocktails to Keep You Warm This Winter.”']","['Add all the ingredients into a shaker with ice and shake.', 'Strain into a double rocks glass over crushed ice.', 'Garnish with 1 cinnamon stick.']",Bitter,NULL
Oaxacan Tail,https://www.liquor.com/recipes/oaxacan-tail/,"{'Mezcal': '3/4 ounce', 'Tapatio blanco tequila': '1/4 ounce', 'Foro amaro': '1 ounce', 'Cold-brew coffee': '2 ounce', 'Chocolate mole bitters': '15 drops'}","['This mezcal- and amaro-based coffee cocktail was cooked up as a brunch drink for Esters Wine Shop & Bar in Santa Monica, Calif. This Mexican-themed drink packs a zing from agave and mole bitters and can be mellowed with a bit of cream. While the recipe calls for Foro amaro, other amari can be easily substituted, such as Ramazzotti, Cynar or Averna.', 'This recipe originally appeared as part of “5 Coffee Cocktails to Keep You Warm This Winter.”']","['Add all the ingredients into a mixing glass with ice and stir lightly.', 'Strain into an Old Fashioned glass over a large ice cube.']",Bitter,NULL
Monte Cassino,https://www.liquor.com/recipes/monte-cassino/,"{'Bénédictine': '3/4 ounce', 'Yellow Chartreuse': '3/4 ounce', 'Fresh lemon juice': '3/4 ounce', 'Rittenhouse Rye': '3/4 ounce'}",['Two French liqueurs plus American rye and lemon juice equals one fine drink.'],"['Shake all the ingredients with ice.', 'Fine strain the mixture into a chilled coupe or small cocktail glass.', 'Garnish with a lemon twist.']",Bitter,"[['This drink is delicious. I’m a fan of Chartreuse and Benedictine and really looked for a cocktail without additional syrups, so this one nailed it.'], ['Glad you enjoyed it. Thanks for your comment.']]"
Black Barrel Old Fashioned,https://www.liquor.com/recipes/black-barrel-old-fashioned/,"{'Jameson Black Barrel whiskey': '2 ounce', 'Bénédictine liqueur': '3/4 ounce', 'Angostura bitters': '2 dash', 'Orange bitters': '2 dash'}","['Jameson brand ambassador Killian Lee suggests using Jameson Black Barrel whiskey in this version of an Old Fashioned. The whiskey mingles with two different kinds of bitters and a little Bénédictine liqueur to amplify its malty sweetness, making it a worthy twist on the classic.', 'This recipe originally appeared as part of Irish Whiskey Is Very Good in Cocktails. Have You Had These 5 Ultimate Examples?']","['Combine all the ingredients into a mixing glass with ice, and stir until cold.', 'Strain into a rocks glass over ice.', 'Garnish with an orange slice.']",Bitter,NULL
